index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
0,1,dick johnson is dead,kirsten johnson,nan,united states,2020,pg 13,90,documentaries,"as her father nears the end of his life, filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable.",2
1,0,blood water,nan,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",south africa,2021,tv ma,2,"international tv shows, tv dramas, tv mysteries","after crossing paths at a party, a cape town teen sets out to prove whether a private school swimming star is her sister who was abducted at birth.",2
2,0,ganglands,julien leclercq,"sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera",nan,2021,tv ma,1,"crime tv shows, international tv shows, tv action adventure","to protect his family from a powerful drug lord, skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",1
3,0,jailbirds new orleans,nan,nan,nan,2021,tv ma,1,"docuseries, reality tv","feuds, flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series.",1
4,0,kota factory,nan,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",india,2021,tv ma,2,"international tv shows, romantic tv shows, tv comedies","in a city of coaching centers known to train indias finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",1
5,0,midnight mass,mike flanagan,"kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver",nan,2021,tv ma,1,"tv dramas, tv horror, tv mysteries","the arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",1
7,1,sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia",1993,tv ma,125,"dramas, independent movies, international movies","on a photo shoot in ghana, an american model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",3
8,0,the great british baking show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",united kingdom,2021,tv 14,9,"british tv shows, reality tv","a talented batch of amateur bakers face off in a 10 week competition, whipping up their best dishes in the hopes of being named the u.k. s best.",2
9,1,the starling,theodore melfi,"melissa mccarthy, chris o dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",united states,2021,pg 13,104,"comedies, dramas",a woman adjusting to life after a loss contends with a feisty bird that s taken over her garden and a husband who s struggling to find a way forward.,2
10,0,"vendetta truth, lies and the mafia",nan,nan,nan,2021,tv ma,1,"crime tv shows, docuseries, international tv shows",sicily boasts a bold anti mafia coalition. but what happens when those trying to bring down organized crime are accused of being criminals themselves,1
11,0,bangkok breaking,kongkiat komesiri,"sukollawat kanarot, sushar manaying, pavarit mongkolpisit, sahajak boonthanakit, suthipongse thatphithakkul, bhasaworn bawronkirati, daweerit chullasapya, waratthaya wongchayaporn, kittiphoom wongpentak, abhicha thanachanun, nophand boonyai, kittipong khamsat, arisara wongchalee, jaytiya naiwattanakul, pantipa arunwattanachai, panupan jantanawong, kungtap saelim, phumphat chartsuriyakiat, issara veranitinunt, keerati sivakuae, panjai sirisuwan, supranee charoenpol, suda chuenban, visaka banhansupavat, pitchatorn santinatornkul",nan,2021,tv ma,1,"crime tv shows, international tv shows, tv action adventure","struggling to earn a living in bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",1
12,1,je suis karl,christian schwochow,"luna wedler, jannis niewohner, milan peschel, edin hasanovic, anna fialova, marlon boess, victor boccard, fleur geffrier, aziz dyab, melanie fouche, elizaveta maximova","germany, czech republic",2021,tv ma,127,"dramas, international movies","after most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",3
